ID;tarjeta_credito;prestamo_hipotecario
5409;1;0
5477;0;0
5507;0;1
8;0;0
158;1;0
173;0;0
5408;0;1
5579;0;0
63318;1;0
5732;1;1
5747;0;0
5832;0;0
5803;0;0
5833;0;0
5960;0;0
323;0;1
442;0;0
6101;1;0
6331;1;0
6366;0;0
21778;0;0
6337;0;0
29858;1;0
959;0;0
6882;0;0
6946;0;0
7068;0;1
7100;0;0
7186;0;0
7266;0;0
6989;0;0
7048;0;0
7367;0;1
10692;0;0
1478;0;0
1644;1;0
81446;0;0
37;0;0
65873;1;0
53;1;0
1695;0;0
1794;0;1
11362;0;0
11380;0;0
469;1;0
11548;1;0
43246;1;0
769;1;0
85739;1;0
5504;0;0
5520;0;0
11044;1;0
11831;1;0
1012;1;0
5606;0;1
5656;0;0
12080;0;0
12333;0;0
12366;0;0
1416;0;0
12450;0;0
25758;0;0
1707;1;0
6258;0;0
6275;0;1
6390;0;0
6407;0;1
1975;1;0
449;1;0
6592;0;0
6706;0;0
515;1;0
6757;1;0
7110;1;0
7176;1;0
31204;0;0
15255;0;0
11635;0;0
11749;0;0
11753;0;0
7294;0;0
10684;0;0
1586;0;0
1620;0;0
10719;0;1
10853;0;0
1669;0;0
20015;0;0
12192;0;0
10918;0;0
10955;1;0
11002;0;0
1968;0;1
12237;0;0
12401;1;0
11254;0;0
16174;1;1
12603;0;0
7364;0;0
7371;0;0
11353;1;0
11473;0;0
16542;0;0
16595;0;0
38751;0;0
11740;0;0
16760;0;1
70233;0;0
11954;0;0
7957;0;1
16912;0;1
16929;0;0
4896;1;0
17060;0;0
12057;1;1
8089;1;0
43827;1;0
17193;0;0
8359;0;0
12241;0;0
12389;1;0
17529;1;0
8716;0;0
12574;0;0
17713;0;0
17798;0;0
54671;0;0
8825;1;0
8918;0;0
8961;0;1
55938;0;0
7459;0;0
7542;0;0
8977;1;0
9184;0;0
9193;0;0
7629;0;0
7695;0;1
9361;0;0
9393;0;0
13085;1;0
7929;1;0
2234;0;0
8144;0;0
2302;0;0
2382;0;0
13585;0;1
8361;0;0
8364;0;0
8445;0;0
2850;0;1
13935;0;0
8781;0;0
8913;1;0
3070;0;0
14220;0;0
3395;0;0
9131;1;0
14436;0;1
14539;0;0
539;0;0
3636;0;0
14654;0;0
9213;0;0
9263;0;0
7684;0;1
7820;0;0
2296;1;0
2297;0;1
2344;0;0
2495;0;0
2529;0;0
9747;0;0
9804;0;0
2664;0;0
2749;1;1
8523;0;0
8603;0;0
10304;1;0
2982;0;0
3014;0;0
3046;0;0
3133;0;1
3330;0;0
8972;0;0
21318;1;1
66898;1;1
9124;0;1
3599;1;0
3667;1;1
3766;0;0
3784;1;0
9341;0;0
2136;1;0
21836;0;0
3818;0;0
3849;0;1
2369;1;0
4050;0;0
2489;0;0
16088;0;0
16136;0;0
61316;0;0
2656;0;0
63697;0;0
16381;0;0
16488;0;0
9699;1;0
54545;1;0
3223;0;0
3524;0;0
17006;0;0
17040;0;0
5030;0;0
17101;0;0
4816;1;0
10369;1;0
10453;0;0
3876;0;0
17360;0;0
21265;0;0
21280;0;0
21350;0;0
17594;0;0
17649;0;1
21464;0;0
84964;0;0
17826;0;0
78037;1;0
16827;1;0
21848;0;0
21918;1;0
16017;0;0
16115;1;0
16754;0;0
17121;0;0
17403;0;0
17487;0;1
17539;0;0
17673;0;0
6418;0;0
6513;1;0
6579;0;1
6638;0;0
23951;1;0
6979;0;0
7029;0;0
7197;0;0
7222;0;0
17921;0;0
17944;0;0
12705;1;0
12760;0;0
12805;0;1
12912;1;0
14939;0;0
18636;0;0
13089;0;0
13125;0;0
13143;0;0
13355;0;0
13362;0;0
37441;0;0
13582;0;0
15472;0;1
13225;0;1
13358;0;0
13830;0;0
13458;0;1
13610;0;0
25169;0;0
14282;0;0
14602;0;0
17190;0;0
13911;0;1
13945;0;0
14378;0;0
14545;0;0
14580;0;1
14581;0;1
27139;0;0
27140;0;0
27156;0;0
27157;0;0
27255;0;0
27306;0;0
14681;0;1
15211;0;1
15079;0;0
15181;0;1
15213;0;0
15214;0;0
15359;0;0
15477;0;0
15695;0;0
15849;0;0
26618;0;0
26813;0;0
26859;0;0
27084;0;0
61674;0;0
27268;0;0
4590;0;0
27333;0;0
10698;0;0
10782;0;0
10807;0;0
10855;0;0
10898;0;0
11050;1;0
43161;0;0
11457;1;0
11602;0;1
11607;0;0
11609;0;0
11616;1;0
11659;0;0
11916;0;0
11943;0;0
12645;0;0
12654;0;0
4102;0;0
4226;0;0
4374;0;0
61281;1;0
63767;0;0
4520;0;0
4310;0;0
4497;0;0
82227;1;0
4651;0;0
4686;0;0
4643;0;0
85565;1;0
5008;0;0
16163;0;0
5170;0;0
10457;0;0
51689;1;0
5147;0;0
5306;0;0
32075;0;0
32150;1;0
5197;0;0
5231;0;0
32229;0;0
32309;1;0
31987;1;0
71793;0;0
32534;1;0
32566;0;0
32573;0;0
93;0;0
104;1;0
202;0;0
311;0;0
361;0;0
445;0;1
636;0;1
670;1;0
1031;0;1
1315;0;0
1363;0;0
1781;0;1
1917;1;0
1958;0;0
83603;0;1
2008;0;0
2015;0;0
32553;0;0
13727;0;0
32686;0;0
22099;0;0
32684;1;0
4988;0;1
22181;0;0
22297;1;0
9942;0;0
9659;0;0
22688;0;0
33252;0;0
9991;1;0
22756;1;0
22813;0;1
10124;0;0
26930;0;0
22600;0;0
22619;0;0
23056;1;1
10311;0;1
10345;0;0
22952;0;0
23001;0;0
23340;0;1
23220;1;1
23774;0;0
23656;0;0
23869;0;0
21653;0;0
68543;0;0
23907;0;0
23957;0;1
21740;0;0
21843;0;0
16039;0;0
16098;0;0
16255;0;0
16262;0;1
16598;0;0
16632;0;0
16689;0;0
16798;1;1
17284;0;0
17309;0;0
17393;1;1
17707;0;0
17718;0;0
17927;0;0
17950;0;0
21974;1;0
22025;0;0
24055;0;0
27433;0;0
27698;1;0
27711;0;0
27779;1;0
27605;0;0
27707;0;0
27792;0;0
27884;0;0
27843;0;0
27861;1;0
28040;0;0
28149;0;0
28088;0;0
28179;0;0
76183;0;0
28074;0;1
28257;0;1
28429;0;0
28417;0;0
28574;0;0
28601;0;1
28702;0;0
28644;0;0
28820;0;0
28835;0;0
28903;0;0
29222;0;0
29109;0;0
29120;0;0
29411;0;0
7708;0;0
7842;0;0
8142;0;1
8433;0;0
8485;0;0
8490;1;0
8692;0;0
8883;0;1
9126;0;0
9221;0;0
9335;0;0
12720;0;0
29188;0;0
29272;0;0
32837;0;0
33038;0;0
33120;0;0
33146;0;0
33141;0;0
33273;0;0
33332;0;0
1266;0;0
33591;0;0
33715;0;1
33816;0;0
34034;0;0
37202;0;0
79864;0;0
34135;0;0
34285;0;0
34316;0;1
34360;0;0
34511;1;1
34517;0;0
34361;0;0
34563;0;0
12870;1;1
13120;0;0
13190;0;1
74661;0;0
13867;0;0
34704;0;0
24110;1;0
24133;0;0
22291;0;0
24317;0;1
24469;0;0
24478;0;1
24474;0;0
24505;0;0
24556;0;0
24574;0;0
74388;0;0
24769;0;0
24773;0;0
54371;0;0
24957;0;0
25057;0;0
23210;0;0
25287;0;0
25414;0;0
25193;0;0
25208;0;0
25326;0;0
23330;0;0
23379;0;0
23445;0;1
23480;0;0
82741;0;0
25623;0;1
25392;0;0
8743;0;0
25542;0;0
